"ID","name","ip","score","level","data","ts"
5,test,::1,2,"",{},"2021-11-03 11:24:10"
15,Roman,"185.110.90.65",10,"","{""tricks"":[{""parsed"":""AO PStar"",""orig"":""Forwards | Inspin 180 | PStar"",""points"":""3""},{""parsed"":""BS Tabernacle to 180 out"",""orig"":""Forwards | BS Tabernacle | Inspin 180"",""points"":""3""},{""parsed"":""True Mizou to 180 out"",""orig"":""Forwards | Outspin 180 | Mizou | Outspin 180 "",""points"":""3""},{""parsed"":""Acid"",""orig"":""Forwards | Acid"",""points"":""1""}],""config"":{""level"":""1"",""spins"":""5""}}","2021-11-03 11:24:51"
25,AlexG,"78.97.147.47",10,"","{""tricks"":[{""parsed"":""True Soul"",""orig"":""Forwards | Outspin 180 | Soul"",""points"":""2""},{""parsed"":""Torque Soul"",""orig"":""Forwards | Torque Soul"",""points"":""2""},{""parsed"":""BS Royale to Fakie out"",""orig"":""Forwards | BS Royale | Fakie"",""points"":""2""},{""parsed"":""AO Mistrial to 180 out"",""orig"":""Forwards | Inspin 180 | Mistrial | Inspin 180"",""points"":""4""}],""config"":{""level"":""1"",""spins"":""5""}}","2021-11-03 18:09:06"
35,Ivashka,"185.215.60.245",24,"","{""tricks"":[{""parsed"":""Fakie BS Unity to 270 out"",""orig"":""Fakie | None BS Unity | 270"",""points"":""5""},{""parsed"":""360 Tough Makio"",""orig"":""Forwards | Inspin 360 | Tough Makio"",""points"":""5""},{""parsed"":""Soyale to 540 out"",""orig"":""Forwards | Inspin 180 | None Torque Soul | Inspin 540"",""points"":""6""},{""parsed"":""540 AO Teakettle to 180 out"",""orig"":""Forwards | Inspin 540 | Rough PStar | Inspin 180"",""points"":""8""}],""config"":{""level"":""3"",""spins"":""5""}}","2021-11-03 21:38:26"
45,Ivashka,"185.215.60.245",29,"","{""tricks"":[{""parsed"":""Switch 630 FS Royale to Fakie out"",""orig"":""Switch | Outspin 630 | None FS Royale | Fakie"",""points"":""7""},{""parsed"":""540 AO Soul to 180 out"",""orig"":""Forwards | Inspin 540 | None Soul | Inspin 180"",""points"":""5""},{""parsed"":""Switch Mistrial to 720 out"",""orig"":""Switch | None Mistrial | Outspin 720"",""points"":""7""},{""parsed"":""True Fullcab 720 Citric Acid"",""orig"":""Fakie | Outspin 720 | None Citric Acid"",""points"":""8""},{""parsed"":""BS Torque"",""orig"":""Forwards | None BS Torque | Forwards"",""points"":""2""}],""config"":{""level"":""3"",""spins"":""5""}}","2021-11-04 04:47:10"
55,Roman,"185.110.90.65",8,"","{""tricks"":[{""parsed"":""Mizou to 180 out"",""orig"":""Forwards | Mizou | Inspin 180"",""points"":""2""},{""parsed"":""FS Unity"",""orig"":""Forwards | FS Unity | Forwards"",""points"":""2""},{""parsed"":""BS Torque"",""orig"":""Forwards | BS Torque | Forwards"",""points"":""2""},{""parsed"":""BS Full Torque to Fakie out"",""orig"":""Forwards | BS Full Torque | Fakie"",""points"":""2""}],""config"":{""level"":""1"",""spins"":""5""}}","2021-11-06 18:34:23"
65,Roman,"185.110.90.65",8,"","{""tricks"":[{""parsed"":""Mizou to 180 out"",""orig"":""Forwards | Mizou | Outspin 180 "",""points"":""2""},{""parsed"":""AO PStar to 180 rewind out"",""orig"":""Forwards | Inspin 180 | PStar | Outspin 180 "",""points"":""4""},{""parsed"":""Acid to 180 out"",""orig"":""Forwards | Acid | Inspin 180"",""points"":""2""}],""config"":{""level"":""1"",""spins"":""5""}}","2021-11-10 07:16:37"
75,Bill,"172.58.137.134",31,"","{""tricks"":[{""parsed"":""720 Hurricane X-Grind to 540 rewind out"",""orig"":""Forwards | Outspin 720 | None X-Grind | Inspin 540"",""points"":""9""},{""parsed"":""AO Top Soul to 720 out"",""orig"":""Forwards | Inspin 180 | Topside Soul | Inspin 720"",""points"":""7""},{""parsed"":""Switch 270 FS Royale to 450 out"",""orig"":""Switch | Outspin 270 | None FS Royale | 450"",""points"":""8""},{""parsed"":""Backside"",""orig"":""Forwards | None Backside | Forwards"",""points"":""1""},{""parsed"":""630 BS Unity"",""orig"":""Forwards | Inspin 630 | None BS Unity | Forwards"",""points"":""6""}],""config"":{""level"":""3"",""spins"":""5""}}","2021-11-13 14:24:27"
85,Roman,"185.110.90.65",3,"","{""tricks"":{""tricks"":[{""parsed"":""FS Fastslide"",""orig"":""Forwards | FS Fastslide | Forwards"",""points"":""3""}],""skipped"":[{""parsed"":""FS Fastslide"",""orig"":""Forwards | FS Fastslide | Forwards"",""points"":""3""}]},""config"":{""level"":""1"",""spins"":""2""}}","2021-11-14 13:47:09"
95,Roman,"185.110.90.65",2,"","{""tricks"":{""tricks"":[{""parsed"":""Makio to 180 out"",""orig"":""Forwards | Makio | Inspin 180"",""points"":""2""}],""skipped"":[{""parsed"":""Makio to 180 out"",""orig"":""Forwards | Makio | Inspin 180"",""points"":""2""}]},""config"":{""level"":""1"",""spins"":""2""}}","2021-11-14 13:48:09"
105,Tom,"185.110.90.65",10,"","{""tricks"":{""tricks"":[{""parsed"":""PStar"",""orig"":""Forwards | PStar"",""points"":""2""},{""parsed"":""Soyale to 180 out"",""orig"":""Forwards | Inspin 180 | Torque Soul | Inspin 180"",""points"":""4""},{""parsed"":""BS Torque to Fakie out"",""orig"":""Forwards | BS Torque | Fakie"",""points"":""2""},{""parsed"":""AO Makio"",""orig"":""Forwards | Inspin 180 | Makio"",""points"":""2""}],""skipped"":[{""parsed"":""PStar"",""orig"":""Forwards | PStar"",""points"":""2""},{""parsed"":""Soyale to 180 out"",""orig"":""Forwards | Inspin 180 | Torque Soul | Inspin 180"",""points"":""4""},{""parsed"":""BS Torque to Fakie out"",""orig"":""Forwards | BS Torque | Fakie"",""points"":""2""},{""parsed"":""AO Makio"",""orig"":""Forwards | Inspin 180 | Makio"",""points"":""2""}]},""config"":{""level"":""1"",""spins"":""5""}}","2021-11-20 18:01:59"
115,Timo,"178.197.205.254",9,"","{""tricks"":{""tricks"":[{""parsed"":""AO Mizou"",""orig"":""Forwards | Inspin 180 | Mizou"",""points"":""2""},{""parsed"":""AO Makio to 180 out"",""orig"":""Forwards | Inspin 180 | Makio | Inspin 180"",""points"":""3""},{""parsed"":""Acid to 180 out"",""orig"":""Forwards | Acid | Inspin 180"",""points"":""2""},{""parsed"":""BS Unity to Fakie out"",""orig"":""Forwards | BS Unity | Fakie"",""points"":""2""}],""skipped"":[{""parsed"":""AO Mizou"",""orig"":""Forwards | Inspin 180 | Mizou"",""points"":""2""},{""parsed"":""AO Makio to 180 out"",""orig"":""Forwards | Inspin 180 | Makio | Inspin 180"",""points"":""3""},{""parsed"":""Acid to 180 out"",""orig"":""Forwards | Acid | Inspin 180"",""points"":""2""},{""parsed"":""BS Unity to Fakie out"",""orig"":""Forwards | BS Unity | Fakie"",""points"":""2""}]},""config"":{""level"":""1"",""spins"":""5""}}","2021-12-03 15:47:20"
125,Greg,"178.197.205.254",11,"","{""tricks"":{""tricks"":[{""parsed"":""AO PStar to 180 out"",""orig"":""Forwards | Inspin 180 | None PStar | Inspin 180"",""points"":""4""},{""parsed"":""AO Mistrial to 180 rewind out"",""orig"":""Forwards | Inspin 180 | None Mistrial | Outspin 180 "",""points"":""4""},{""parsed"":""Hot Dog to 180 out"",""orig"":""Forwards | None Hot Dog | Outspin 180 "",""points"":""3""}],""skipped"":[{""parsed"":""AO PStar to 180 out"",""orig"":""Forwards | Inspin 180 | None PStar | Inspin 180"",""points"":""4""},{""parsed"":""AO Mistrial to 180 rewind out"",""orig"":""Forwards | Inspin 180 | None Mistrial | Outspin 180 "",""points"":""4""},{""parsed"":""Hot Dog to 180 out"",""orig"":""Forwards | None Hot Dog | Outspin 180 "",""points"":""3""}]},""config"":{""level"":""2"",""spins"":""5""}}","2021-12-03 15:48:14"
