"ID","ip","score","level","data","ts"
5,::1,2,"",{},"2021-11-03 11:24:10"
15,"185.110.90.65",10,"","{""tricks"":[{""parsed"":""AO PStar"",""orig"":""Forwards | Inspin 180 | PStar"",""points"":""3""},{""parsed"":""BS Tabernacle to 180 out"",""orig"":""Forwards | BS Tabernacle | Inspin 180"",""points"":""3""},{""parsed"":""True Mizou to 180 out"",""orig"":""Forwards | Outspin 180 | Mizou | Outspin 180 "",""points"":""3""},{""parsed"":""Acid"",""orig"":""Forwards | Acid"",""points"":""1""}],""config"":{""level"":""1"",""spins"":""5""}}","2021-11-03 11:24:48"
25,"1.146.60.29",12,"","{""tricks"":[{""parsed"":""Backside to Fakie out"",""orig"":""Forwards | None Backside | Fakie"",""points"":""1""},{""parsed"":""BS Unity to Fakie out"",""orig"":""Forwards | None BS Unity | Fakie"",""points"":""2""},{""parsed"":""BS Royale"",""orig"":""Forwards | None BS Royale | Forwards"",""points"":""2""},{""parsed"":""Cross-Grab FS Torque to Fakie out"",""orig"":""Forwards | Cross-Grab FS Torque | Fakie"",""points"":""4""},{""parsed"":""AO Mizou to 180 out"",""orig"":""Forwards | Inspin 180 | None Mizou | Inspin 180"",""points"":""3""}],""config"":{""level"":""4"",""spins"":""5""}}","2021-11-03 12:11:05"
35,"115.64.17.172",9,"","{""tricks"":[{""parsed"":""FS Royale to Fakie out"",""orig"":""Forwards | FS Royale | Fakie"",""points"":""2""},{""parsed"":""Torque Soul"",""orig"":""Forwards | Torque Soul"",""points"":""2""},{""parsed"":""FS Torque"",""orig"":""Forwards | FS Torque | Forwards"",""points"":""2""},{""parsed"":""Soul"",""orig"":""Forwards | Soul"",""points"":""1""},{""parsed"":""Mizou to 180 out"",""orig"":""Forwards | Mizou | Inspin 180"",""points"":""2""}],""config"":{""level"":""1"",""spins"":""5""}}","2021-11-03 12:11:25"
45,"142.169.78.164",13,"","{""tricks"":[{""parsed"":""BS Fastslide to Fakie out"",""orig"":""Forwards | BS Fastslide | Fakie"",""points"":""3""},{""parsed"":""BS Torque to Fakie out"",""orig"":""Forwards | BS Torque | Fakie"",""points"":""2""},{""parsed"":""AO Acid to 180 rewind out"",""orig"":""Forwards | Inspin 180 | Acid | Outspin 180 "",""points"":""3""},{""parsed"":""Soyale to 180 out"",""orig"":""Forwards | Inspin 180 | Torque Soul | Inspin 180"",""points"":""4""},{""parsed"":""Makio"",""orig"":""Forwards | Makio"",""points"":""1""}],""config"":{""level"":""1"",""spins"":""5""}}","2021-11-03 12:11:49"
55,"67.167.122.18",12,"","{""tricks"":[{""parsed"":""Acid to 180 out"",""orig"":""Forwards | Acid | Inspin 180"",""points"":""2""},{""parsed"":""AO Makio to 180 out"",""orig"":""Forwards | Inspin 180 | Makio | Inspin 180"",""points"":""3""},{""parsed"":""FS Fastslide"",""orig"":""Forwards | FS Fastslide | Forwards"",""points"":""3""},{""parsed"":""Mizou to 180 out"",""orig"":""Forwards | Mizou | Inspin 180"",""points"":""2""},{""parsed"":""BS Unity to Fakie out"",""orig"":""Forwards | BS Unity | Fakie"",""points"":""2""}],""config"":{""level"":""1"",""spins"":""5""}}","2021-11-03 17:33:30"
65,"67.167.122.18",0,"","{""config"":{""level"":""2"",""spins"":""5""}}","2021-11-03 17:34:51"
75,"78.97.147.47",10,"","{""tricks"":[{""parsed"":""True Soul"",""orig"":""Forwards | Outspin 180 | Soul"",""points"":""2""},{""parsed"":""Torque Soul"",""orig"":""Forwards | Torque Soul"",""points"":""2""},{""parsed"":""BS Royale to Fakie out"",""orig"":""Forwards | BS Royale | Fakie"",""points"":""2""},{""parsed"":""AO Mistrial to 180 out"",""orig"":""Forwards | Inspin 180 | Mistrial | Inspin 180"",""points"":""4""}],""config"":{""level"":""1"",""spins"":""5""}}","2021-11-03 18:08:22"
85,"185.215.60.245",19,"","{""tricks"":[{""parsed"":""Switch 450 BS Full Torque"",""orig"":""Switch | Outspin 450 | None BS Full Torque | Forwards"",""points"":""6""},{""parsed"":""Switch Halfcab Sweatstance"",""orig"":""Fakie & Switch | Inspin 180 | Topside Mizou"",""points"":""6""},{""parsed"":""Halfcab Rocket Makio"",""orig"":""Fakie | Inspin 180 | Rocket Makio"",""points"":""5""},{""parsed"":""Top Sidewalk"",""orig"":""Forwards | Topside Sidewalk"",""points"":""2""}],""config"":{""level"":""3"",""spins"":""5""}}","2021-11-03 21:36:43"
95,"185.215.60.245",24,"","{""tricks"":[{""parsed"":""Fakie BS Unity to 270 out"",""orig"":""Fakie | None BS Unity | 270"",""points"":""5""},{""parsed"":""360 Tough Makio"",""orig"":""Forwards | Inspin 360 | Tough Makio"",""points"":""5""},{""parsed"":""Soyale to 540 out"",""orig"":""Forwards | Inspin 180 | None Torque Soul | Inspin 540"",""points"":""6""},{""parsed"":""540 AO Teakettle to 180 out"",""orig"":""Forwards | Inspin 540 | Rough PStar | Inspin 180"",""points"":""8""}],""config"":{""level"":""3"",""spins"":""5""}}","2021-11-03 21:37:37"
